id	other_income
350217103	0
350117104	3000
350216105	0
350183104	30000
350191104	40000
350197103	0
350187104	10500
350185103	36000
350196106	30000
350180104	18000
350183107	30000
350173103	3000000
350222104	30000
350222103	30000
350196104	36000
350192105	0
350196105	0
350195102	0
350180103	0
350193102	0
350181105	50000
350199103	0
350184104	33000
350184103	33000
350216108	0
350199102	0
350009103	0
350004431	30000
350055104	20000
350002103	0
350005104	0
350004104	拒绝回答
350053105	0
350055107	0
350043104	20000
350043105	40000
350013103	0
350002105	30000
350002101	0
350055103	30000
350056103	0
350002102	0
350047104	0
350055105	25000
350002109	0
350002108	0
350055106	0
350005103	0
350013431	60000
350018102	0
350041106	5000
350020104	0
350036106	0
350031105	0
350041104	10000
350029104	36000
350018104	0
350020105	0
350023104	13000
350029103	0
350021103	0
350025101	0
360230105	50000
360253103	30000
360310105	0
360251102	0
360250431	60000
360292108	0
360293104	0
360310107	0
360242103	0
360292105	0
360294104	0
360293105	25000
360253102	0
360310106	20000
360253104	12000
360243103	30000
360235102	0
360310103	30000
360310104	20000
360230103	60000
360293103	25000
360293102	25000
360243104	23000
360235103	0
360294105	0
360339104	0
360276104	0
360278103	0
360342104	0
360330101	0
360287101	0
360275103	50000
360321102	0
360331105	0
360321103	0
360339105	0
360326104	40000
360326101	40000
360330104	0
360341103	20000
360270101	0
360284103	65000
360331104	0
360160104	0
360054103	0
360061103	30000
360010104	0
360174102	0
360144101	0
360061104	30000
360191102	0
360169104	0
360169103	0
360182105	0
360173101	30000
360177101	0
360178101	24000
360160106	30000
360117103	0
360177104	0
360098102	40000
360041104	2000
360065102	0
360095104	0
360098103	40000
360061102	0
360041103	0
360073103	24000
360085103	43200
360078106	23000
360042103	0
360086105	30000
360093106	0
360093105	0
360078104	0
360093103	0
370324103	0
370334103	30000
370330102	0
370661104	0
370212105	0
370202102	0
370212104	0
370206101	0
370273103	0
370262103	0
370270104	50000
370300104	36000
370303103	0
370302102	0
370286102	40000
370300103	0
370298102	30000
370289101	0
370283103	0
370308105	0
370300101	0
370289102	25000
370286103	0
370101102	2000
370100103	54000
370015103	0
370468104	0
370393102	0
370433102	0
370407105	0
370105101	0
370109102	0
370058103	0
370015102	0
370468103	0
370037104	0
370037106	0
370109104	0
370037103	0
370750103	0
370447101	0
370068103	0
370092103	0
370090104	0
370093101	0
370087102	10000
370346103	0
370362103	0
370172103	0
370184104	0
370183431	0
370173101	0
370179101	0
370143101	0
370148104	10000
370516103	30000
370522104	0
370522103	24000
370525101	0
370517103	0
370516101	0
370520103	24000
410617104	0
410617103	0
410617105	0
410594101	15000
410616102	0
411415104	0
260973433	30000
411437104	0
411440106	0
411415103	0
411376102	0
411417103	0
411434101	0
411436103	0
411426104	0
411437105	0
411415106	0
411422102	0
411415105	0
411440102	21000
411415102	0
411419107	0
411436104	0
411421101	0
411426431	0
411426103	0
411422103	0
411440103	0
411430103	0
411440107	0
411068104	0
411068105	3400
411086103	0
411042104	0
411037102	0
411048104	0
